IOSH Demo Player Log
10:14:7:911 0.00 2.33 0.00
10:14:7:923 0.00 2.33 0.00
10:14:7:936 0.00 2.33 0.00
10:14:7:945 0.00 2.33 0.00
10:14:7:957 0.00 2.33 0.00
10:14:7:969 0.00 2.33 0.00
10:14:7:980 0.00 2.33 0.00
10:14:7:990 0.00 2.33 0.00
10:14:8:2 0.00 2.33 0.00
10:14:8:13 0.00 2.33 0.00
10:14:8:24 0.00 2.33 0.00
10:14:8:35 0.00 2.33 0.00
10:14:8:46 0.00 2.33 0.00
10:14:8:59 0.00 2.33 0.00
10:14:8:68 0.00 2.33 0.00
10:14:8:79 0.00 2.33 0.00
10:14:8:91 0.00 2.33 0.00
10:14:8:102 0.00 2.33 0.00
10:14:8:114 0.00 2.33 0.00
10:14:8:125 0.00 2.33 0.00
10:14:8:136 0.00 2.33 0.00
10:14:8:146 0.00 2.33 0.00
10:14:8:159 0.00 2.33 0.00
10:14:8:169 0.00 2.33 0.00
10:14:8:180 0.00 2.33 0.00
10:14:8:191 0.00 2.33 0.00
10:14:8:202 0.00 2.33 0.00
10:14:8:214 0.00 2.33 0.00
10:14:8:226 0.00 2.33 0.00
10:14:8:236 0.00 2.33 0.00
10:14:8:248 0.00 2.33 0.00
